"code","name_it","name_en","parent_code","level","classification_system"
"53.1","Attività postali con obbligo di servizio universale","Postal activities under universal service obligation","53","3","NACE"
"53.2","Altre attività postali e di corriere","Other postal and courier activities","53","3","NACE"
"53.3","Attività di servizi di intermediazione per attività postali e di corriere","Intermediation service activities for postal and courier activities","53","3","NACE"
"55.1","Servizi di alloggio di alberghi e simili","Hotels and similar accommodation","55","3","NACE"
"55.2","Servizi di alloggio per vacanze e altri soggiorni di breve durata","Holiday and other short-stay accommodation","55","3","NACE"
"55.3","Servizi di aree di campeggio e aree attrezzate per veicoli ricreazionali","Camping grounds and recreational vehicle parks","55","3","NACE"
"55.4","Attività di servizi di intermediazione per servizi di alloggio","Intermediation service activities for accommodation","55","3","NACE"
"55.9","Altri servizi di alloggio","Other accommodation","55","3","NACE"
"56.1","Attività di ristoranti e di servizi di ristorazione mobile","Restaurants and mobile food service activities","56","3","NACE"
"56.2","Attività di servizi di catering per eventi, catering su base contrattuale e altri servizi di ristorazione","Event catering, contract catering service activities and other food service activities","56","3","NACE"
"56.3","Attività di somministrazione di bevande","Beverage serving activities","56","3","NACE"
"56.4","Attività di servizi di intermediazione per servizi di ristorazione","Intermediation service activities for food and beverage services activities","56","3","NACE"
"58.1","Edizione di libri, quotidiani e altre attività editoriali, esclusa l'edizione di software","Publishing of books, newspapers and other publishing activities, except software publishing","58","3","NACE"
"58.2","Edizione di software","Software publishing","58","3","NACE"
"59.1","Attività di produzione, post-produzione e distribuzione cinematografica, di video e programmi televisivi","Motion picture, video and television programme activities","59","3","NACE"
"59.2","Attività di registrazione sonora e dell'editoria musicale","Sound recording and music publishing activities","59","3","NACE"
"60.1","Attività di trasmissione radiofonica e distribuzione di audio","Radio broadcasting and audio distribution activities","60","3","NACE"
"60.2","Attività di programmazione e trasmissione televisive e di distribuzione di video","Television programming, broadcasting and video distribution activities","60","3","NACE"
"60.3","Attività delle agenzie di stampa e altre attività di distribuzione di contenuti","News agency and other content distribution activities","60","3","NACE"
"61.1","Attività di telecomunicazioni fisse, mobili e satellitari","Wired, wireless, and satellite telecommunication activities","61","3","NACE"
"61.2","Attività di rivendita di telecomunicazioni e attività di servizi di intermediazione per telecomunicazioni","Telecommunication reselling activities and intermediation service activities for telecommunication","61","3","NACE"
"61.9","Altre attività di telecomunicazioni","Other telecommunication activities","61","3","NACE"
"62.1","Attività di programmazione informatica","Computer programming activities","62","3","NACE"
"62.2","Attività di consulenza informatica e di gestione di strutture informatiche","Computer consultancy and computer facilities management activities","62","3","NACE"
"62.9","Altre attività dei servizi connessi alle tecnologie dell'informazione e dell'informatica","Other information technology and computer service activities","62","3","NACE"
"63.1","Infrastrutture informatiche, elaborazione dati, hosting e attività connesse","Computing infrastructure, data processing, hosting and related activities","63","3","NACE"
"63.9","Attività dei portali di ricerca web e altre attività dei servizi di informazione","Web search portal activities and other information service activities","63","3","NACE"
"64.1","Intermediazione monetaria","Monetary intermediation","64","3","NACE"
"64.2","Attività delle società di partecipazione (holding) e dei conduit di finanziamento","Activities of holding companies and financing conduits","64","3","NACE"
"64.3","Attività delle società fiduciarie, dei fondi e altre entità simili","Activities of trusts, funds and similar financial entities","64","3","NACE"
"64.9","Altre attività di servizi finanziari, ad esclusione di assicurazioni e fondi pensione","Other financial service activities, except insurance and pension funding","64","3","NACE"
"65.1","Assicurazioni","Insurance","65","3","NACE"
"65.2","Riassicurazioni","Reinsurance","65","3","NACE"
"65.3","Fondi pensione","Pension funding","65","3","NACE"
"66.1","Attività ausiliarie dei servizi finanziari, escluse le assicurazioni e i fondi pensione","Activities auxiliary to financial services, except insurance and pension funding","66","3","NACE"
"66.2","Attività ausiliarie delle assicurazioni e dei fondi pensione","Activities auxiliary to insurance and pension funding","66","3","NACE"
"66.3","Attività di gestione di fondi","Fund management activities","66","3","NACE"
"68.1","Attività immobiliari su beni propri e sviluppo di progetti immobiliari","Real estate activities with own property and development of building projects","68","3","NACE"
